SR No.,Movie Names,Director 1,Director 2,Time Durations,Year Durations,Movie Ratings,Movie Metascores
1,The Witcher,--,--,60 min,(2019– ),8.1,--
2,Twisted Metal,--,--,30 min,(2023– ),7.5,--
3,Guardians of the Galaxy Vol. 3,James Gunn,--,150 min,(2023),8.0,64
4,Teenage Mutant Ninja Turtles: Mutant Mayhem,Jeff Rowe, Kyler Spears,99 min,(2023),7.6,74
5,Meg 2: The Trench,Ben Wheatley,--,116 min,(2023),5.6,40
6,Mission: Impossible - Dead Reckoning Part One,Christopher McQuarrie,--,163 min,(2023),8.0,81
7,Sound of Freedom,Alejandro Monteverde,--,131 min,(2023),7.8,43
8,Special Ops: Lioness,--,--,--,(2023– ),7.5,--
9,Star Trek: Strange New Worlds,--,--,52 min,(2022– ),8.3,--
10,Hidden Strike,Scott Waugh,--,102 min,(2023),5.4,--
11,Secret Invasion,--,--,47 min,(2023),6.1,--
12,Game of Thrones,--,--,57 min,(2011–2019),9.2,--
13,Transformers: Rise of the Beasts,Steven Caple Jr.,--,127 min,(2023),6.1,42
14,They Cloned Tyrone,Juel Taylor,--,122 min,(2023),6.7,74
15,Tom Clancy's Jack Ryan,--,--,60 min,(2018–2023),8.0,--
16,Paradise,Boris Kunz, Tomas Jonsgården,117 min,(I) (2023),6.3,--
17,Loki,--,--,53 min,(2021– ),8.2,--
18,The Flash,Andy Muschietti,--,144 min,(I) (2023),6.9,56
19,The Boys,--,--,60 min,(2019– ),8.7,--
20,One Piece,--,--,24 min,(1999– ),8.9,--
21,The Meg,Jon Turteltaub,--,113 min,(2018),5.6,46
22,Justified,--,--,44 min,(2010–2015),8.6,--
23,Sympathy for the Devil,Yuval Adler,--,90 min,(2023),5.6,53
24,Indiana Jones and the Dial of Destiny,James Mangold,--,154 min,(2023),6.8,58
25,Spider-Man: Across the Spider-Verse,Joaquim Dos Santos, Kemp Powers,140 min,(2023),8.9,86
26,Miraculous: Ladybug & Cat Noir the Movie,Jeremy Zag,--,105 min,(2023),6.2,--
27,John Wick: Chapter 4,Chad Stahelski,--,169 min,(2023),7.8,78
28,The Covenant,Guy Ritchie,--,123 min,(2023),7.5,63
29,The Rookie,--,--,43 min,(2018– ),8.0,--
30,Invincible,--,--,50 min,(2021– ),8.7,--
31,Warrior,--,--,60 min,(2019– ),8.4,--
32,Jujutsu Kaisen,--,--,24 min,(2020– ),8.5,--
33,Inception,Christopher Nolan,--,148 min,(2010),8.8,74
34,The Last of Us,--,--,50 min,(2023– ),8.8,--
35,The Out-Laws,Tyler Spindel,--,95 min,(2023),5.4,36
36,The Dark Knight,Christopher Nolan,--,152 min,(2008),9.0,84
37,Attack on Titan,--,--,24 min,(2013–2023),9.1,--
38,Avatar: The Way of Water,James Cameron,--,192 min,(2022),7.6,67
39,Dungeons & Dragons: Honor Among Thieves,John Francis Daley, Jonathan Goldstein,134 min,(2023),7.3,72
40,Dunkirk,Christopher Nolan,--,106 min,(2017),7.8,94
41,NCIS,--,--,60 min,(2003– ),7.8,--
42,Tenet,Christopher Nolan,--,150 min,(2020),7.3,69
43,Dune,Denis Villeneuve,--,155 min,(2021),8.0,74
44,Gran Turismo,Neill Blomkamp,--,135 min,(2023),7.0,--
45,Blue Beetle,Angel Manuel Soto,--,127 min,(2023),--,--
46,One Piece,--,--,--,(2023– ),--,--
47,Fast X,Louis Leterrier,--,141 min,(2023),5.9,56
48,House of the Dragon,--,--,--,(2022– ),8.5,--
49,Sisu,Jalmari Helander,--,91 min,(2022),6.9,70
50,Top Gun: Maverick,Joseph Kosinski,--,130 min,(2022),8.3,78
